Year	Team1Team	Team1Score	Team1Rank	Team1	Team2Team	Team2Score	Team2Rank2	team2	entry	RankDiff	ScoreDiff
1992	Seton Hall	78	4	No. 4 Seton Hall 78	La Salle	76	13	No. 13 La Salle 76	FIRST ROUND	-9	2
1992	Cincinnati	85	4	No. 4 Cincinnati 85	Delaware	47	13	No. 13 Delaware 47	FIRST ROUND	-9	38
1992	North Carolina	68	4	No. 4 North Carolina 68	Miami (Ohio)	63	13	No. 13 Miami (Ohio) 63	FIRST ROUND	-9	5
1992	Alabama	80	5	No. 5 Alabama 80	Stanford	75	12	No. 12 Stanford 75	FIRST ROUND	-7	5
1992	Missouri	89	5	No. 5 Missouri 89	West Virginia	78	12	No. 12 West Virginia 78	FIRST ROUND	-7	11
1992	Michigan State	61	5	No. 5 Michigan State 61	SW Missouri State	54	12	No. 12 SW Missouri State 54	FIRST ROUND	-7	7
1992	Michigan	102	6	"Michigan 102	East Tennessee State	90	14	 East Tennessee State 90	SECOND ROUND	
1988	Kansas	83	6	Kansas 83"	Oklahoma	79	1	 Oklahoma 79	NATIONAL CHAMPIONSHIP	5	23
1992	Memphis State	83	6	"Memphis State 83	Georgia Tech	79	7	 Georgia Tech 79	REGIONAL SEMIFINALS	
1988	Vanderbilt	80	7	Vanderbilt 80"	Pittsburgh	74	2	 Pittsburgh 74	SECOND ROUND	4	9
1992	Michigan	75	6	"Michigan 75	Oklahoma State	72	2	 Oklahoma State 72	REGIONAL SEMIFINALS	
2008	UCLA	76	1	UCLA 76"	Xavier	57	3	 Xavier 57	REGIONAL FINALS	3	18
1992	Memphis State	82	6	"Memphis State 82	Arkansas	80	3	 Arkansas 80	SECOND ROUND	
1979	Penn	64	9	Penn 64"	St. John's	62	10	 St. John's 62	REGIONAL FINALS	-4	20
1992	Memphis State	80	6	No. 6 Memphis State 80	Pepperdine	70	11	No. 11 Pepperdine 70	FIRST ROUND	-5	10
1992	Michigan	73	6	No. 6 Michigan 73	Temple	66	11	No. 11 Temple 66	FIRST ROUND	-5	7
1992	Syracuse	51	6	No. 6 Syracuse 51	Princeton	43	11	No. 11 Princeton 43	FIRST ROUND	-5	8
1992	Georgetown	75	6	No. 6 Georgetown 75	South Florida	60	11	No. 11 South Florida 60	FIRST ROUND	-5	15
1992	Georgia Tech	79	7	"Georgia Tech 79	Southern Cal	78	2	 Southern Cal 78	SECOND ROUND	
1979	Indiana St.	76	1	Indiana St. 76"	DePaul	74	2	 DePaul 74	NATIONAL SEMIFINALS	5	5
1992	Louisiana State	94	7	No. 7 Louisiana State 94	Brigham Young	83	10	No. 10 Brigham Young 83	FIRST ROUND	-3	11
1992	Georgia Tech	65	7	No. 7 Georgia Tech 65	Houston	60	10	No. 10 Houston 60	FIRST ROUND	-3	5
1992	Louisville	81	8	No. 8 Louisville 81	Wake Forest	58	9	No. 9 Wake Forest 58	FIRST ROUND	-1	23
1992	Texas-El Paso	55	9	No. 9 Texas-El Paso 55	Evansville	50	8	No. 8 Evansville 50	FIRST ROUND	1	5
1992	Iowa	98	9	No. 9 Iowa 98	Texas	92	8	No. 8 Texas 92	FIRST ROUND	1	6
1992	Connecticut	86	9	No. 9 Connecticut 86	Nebraska	65	8	No. 8 Nebraska 65	FIRST ROUND	1	21
1992	Texas-El Paso	66	9	"Texas-El Paso 66	Kansas	60	1	 Kansas 60	SECOND ROUND	
1998	Purdue	80	2	Purdue 80"	Detroit	65	10	 Detroit 65	SECOND ROUND	-1	1
1992	Tulane	61	10	No. 10 Tulane 61	St. John's	57	7	No. 7 St. John's 57	FIRST ROUND	3	4
1992	Iowa State	76	10	No. 10 Iowa State 76	UNC Charlotte	74	7	No. 7 UNC Charlotte 74	FIRST ROUND	3	2
1992	New Mexico State	81	12	No. 12 New Mexico State 81	DePaul	73	5	No. 5 DePaul 73	FIRST ROUND	7	8
1992	New Mexico State	81	12	"New Mexico State 81	Southwestern La.	73	NA	 Southwestern La. 73	SECOND ROUND	
2002	Duke	84	1	Duke 84"	Notre Dame	77	8	 Notre Dame 77	SECOND ROUND	4	4
1992	Southwestern Louisiana	87	13	No. 13 Southwestern Louisiana 87	Oklahoma	83	4	No. 4 Oklahoma 83	FIRST ROUND	9	4
1992	East Tennessee State	87	14	No. 14 East Tennessee State 87	Arizona	80	3	No. 3 Arizona 80	FIRST ROUND	11	7
1993	Indiana	73	1	"Indiana 73	Xavier	70	9	 Xavier 70	SECOND ROUND	
1995	Connecticut	99	2	Connecticut 99"	Maryland	89	3	 Maryland 89	REGIONAL SEMIFINALS	-2	-16
1993	Kentucky	103	1	"Kentucky 103	Wake Forest	69	5	 Wake Forest 69	REGIONAL SEMIFINALS	
2004	Illinois	92	5	Illinois 92"	Cincnnati	68	4	 Cincnnati 68	SECOND ROUND	-3	35
1993	Michigan	77	1	"Michigan 77	Temple	72	7	 Temple 72	REGIONAL FINALS	
1992	Michigan	76	6	Michigan 76"	Cincinnati	72	4	 Cincinnati 72	NATIONAL SEMIFINALS	-3	5
1993	Kentucky	106	1	"Kentucky 106	Florida State	81	3	 Florida State 81	REGIONAL FINALS	
2012	Louisville	59	4	Louisville 59"	New Mexico	56	5	 New Mexico 56	THIRD ROUND	-4	50
1993	Michigan	86	1	"Michigan 86	UCLA	84	9	 UCLA 84	SECOND ROUND	
2002	Kansas	86	1	Kansas 86"	Stanford	63	8	 Stanford 63	SECOND ROUND	-7	23
1993	Indiana	82	1	"Indiana 82	Louisville	69	4	 Louisville 69	REGIONAL SEMIFINALS	
1987	Georgetown	82	1	Georgetown 82"	Ohio State	79	9	 Ohio State 79	SECOND ROUND	-8	3
1993	North Carolina	75	1	"North Carolina 75	Cincinnati	68	2	 Cincinnati 68	REGIONAL FINALS	
1995	Wake Forest	64	1	Wake Forest 64"	St. Louis	59	9	 St. Louis 59	SECOND ROUND	-8	16
1993	North Carolina	78	1	"North Carolina 78	Kansas	68	2	 Kansas 68	NATIONAL SEMIFINALS	
1990	Connecticut	74	1	Connecticut 74"	California	54	9	 California 54	SECOND ROUND	-8	24
1993	North Carolina	80	1	"North Carolina 80	Arkansas	74	4	 Arkansas 74	REGIONAL SEMIFINALS	
2005	Illinois	77	1	Illinois 77"	Wisconsin-Milwaukee	63	12	 Wisconsin-Milwaukee 63	REGIONAL SEMIFINALS	-11	17
1993	Kentucky	96	1	No. 1 Kentucky 96	Rider (N.J.)	52	16	No. 16 Rider (N.J.) 52	FIRST ROUND	-15	44
1993	North Carolina	85	1	No. 1 North Carolina 85	East Carolina	65	16	No. 16 East Carolina 65	FIRST ROUND	-15	20
1993	Michigan	84	1	No. 1 Michigan 84	Coastal Carolina (S.C.)	53	16	No. 16 Coastal Carolina (S.C.) 53	FIRST ROUND	-15	31
1993	Indiana	97	1	No. 1 Indiana 97	Wright State	54	16	No. 16 Wright State 54	FIRST ROUND	-15	43
1993	Kansas	94	2	No. 2 Kansas 94	Ball State	72	15	No. 15 Ball State 72	FIRST ROUND	-13	22
1993	Cincinnati	93	2	No. 2 Cincinnati 93	Coppin State	66	15	No. 15 Coppin State 66	FIRST ROUND	-13	27
1993	Seton Hall	81	2	No. 2 Seton Hall 81	Tennessee State	59	15	No. 15 Tennessee State 59	FIRST ROUND	-13	22
1993	Vanderbilt	85	3	"Vanderbilt 85	Illinois	68	6	 Illinois 68	SECOND ROUND	
2011	Connecticut	56	3	Connecticut 56"	Kentucky	55	4	 Kentucky 55	NATIONAL SEMIFINALS	-1	30
1993	Florida State	81	3	"Florida State 81	Western Kentucky	78	7	 Western Kentucky 78	REGIONAL SEMIFINALS	
1996	Wake Forest	65	2	Wake Forest 65"	Texas	62	10	 Texas 62	SECOND ROUND	-7	19
1993	Massachusetts	54	3	No. 3 Massachusetts 54	Penn	50	14	No. 14 Penn 50	FIRST ROUND	-11	4
1993	Florida State	82	3	No. 3 Florida State 82	Evansville	70	14	No. 14 Evansville 70	FIRST ROUND	-11	12
1993	Vanderbilt	92	3	No. 3 Vanderbilt 92	Boise State	72	14	No. 14 Boise State 72	FIRST ROUND	-11	20
1993	Duke	105	3	No. 3 Duke 105	Southern Illinois	70	14	No. 14 Southern Illinois 70	FIRST ROUND	-11	35
1993	Louisville	78	4	"Louisville 78	Oklahoma State	63	5	 Oklahoma State 63	SECOND ROUND	
1999	Ohio State	77	4	Ohio State 77"	St. John's	74	3	 St. John's 74	REGIONAL FINALS	1	4
1993	Arkansas	80	4	"Arkansas 80	St. John's	74	5	 St. John's 74	SECOND ROUND	
1988	Oklahoma	107	1	Oklahoma 107"	Auburn	87	8	 Auburn 87	SECOND ROUND	-4	-7
1993	Arkansas	94	4	No. 4 Arkansas 94	Holy Cross	64	13	No. 13 Holy Cross 64	FIRST ROUND	-9	30
1993	Iowa	82	4	No. 4 Iowa 82	Northeast Louisiana	69	13	No. 13 Northeast Louisiana 69	FIRST ROUND	-9	13
1993	Louisville	76	4	No. 4 Louisville 76	Delaware	70	13	No. 13 Delaware 70	FIRST ROUND	-9	6
1993	Oklahoma State	74	5	No. 5 Oklahoma State 74	Marquette	62	12	No. 12 Marquette 62	FIRST ROUND	-7	12
1993	Wake Forest	81	5	No. 5 Wake Forest 81	Tennessee-Chattanooga	58	12	No. 12 Tennessee-Chattanooga 58	FIRST ROUND	-7	23
1993	St. John's	85	5	No. 5 St. John's 85	Texas Tech	67	12	No. 12 Texas Tech 67	FIRST ROUND	-7	18
1993	Wake Forest	84	5	"Wake Forest 84	Iowa	78	4	 Iowa 78	SECOND ROUND	
2010	Tennessee	83	6	Tennessee 83"	Ohio	68	14	 Ohio 68	SECOND ROUND	-9	16
1993	Virginia	71	6	"Virginia 71	Massachusetts	56	3	 Massachusetts 56	SECOND ROUND	
1987	Syracuse	79	2	Syracuse 79"	North Carolina	75	1	 North Carolina 75	REGIONAL FINALS	5	-4
1993	Virginia	78	6	No. 6 Virginia 78	Manhattan	66	11	No. 11 Manhattan 66	FIRST ROUND	-5	12
1993	California	66	6	No. 6 California 66	Louisiana State	64	11	No. 11 Louisiana State 64	FIRST ROUND	-5	2
1993	Illinois	75	6	No. 6 Illinois 75	Long Beach State	72	11	No. 11 Long Beach State 72	FIRST ROUND	-5	3
1993	Western Kentucky	72	7	"Western Kentucky 72	Seton Hall	68	2	 Seton Hall 68	SECOND ROUND	
1997	Stanford	72	6	Stanford 72"	Wake Forest	66	3	 Wake Forest 66	SECOND ROUND	4	6
1993	Temple	68	7	"Temple 68	Santa Clara	57	15	 Santa Clara 57	SECOND ROUND	
1995	UCLA	74	1	UCLA 74"	Oklahoma State	61	4	 Oklahoma State 61	NATIONAL SEMIFINALS	3	7
1993	Temple	75	7	No. 7 Temple 75	Missouri	61	10	No. 10 Missouri 61	FIRST ROUND	-3	14
1993	Brigham Young	80	7	No. 7 Brigham Young 80	Southern Methodist	71	10	No. 10 Southern Methodist 71	FIRST ROUND	-3	9
1993	Western Kentucky	55	7	No. 7 Western Kentucky 55	Memphis State	52	10	No. 10 Memphis State 52	FIRST ROUND	-3	3
1993	New Mexico State	93	7	No. 7 New Mexico State 93	Nebraska	79	10	No. 10 Nebraska 79	FIRST ROUND	-3	14
1993	Temple	67	7	"Temple 67	Vanderbilt	59	3	 Vanderbilt 59	REGIONAL SEMIFINALS	
2009	Memphis	89	2	Memphis 89"	Maryland	70	10	 Maryland 70	SECOND ROUND	-3	-3
1993	Utah	86	8	No. 8 Utah 86	Pittsburgh	85	9	No. 9 Pittsburgh 85	FIRST ROUND	-1	1
1993	Rhode Island	74	8	No. 8 Rhode Island 74	Purdue	68	9	No. 9 Purdue 68	FIRST ROUND	-1	6
1993	Xavier	73	9	No. 9 Xavier 73	New Orleans	55	8	No. 8 New Orleans 55	FIRST ROUND	1	18
1993	UCLA	81	9	No. 9 UCLA 81	Iowa State	70	8	No. 8 Iowa State 70	FIRST ROUND	1	11
1993	Tulane	55	11	No. 11 Tulane 55	Kansas State	53	6	No. 6 Kansas State 53	FIRST ROUND	5	2
1993	George Washington	82	12	No. 12 George Washington 82	New Mexico	68	5	No. 5 New Mexico 68	FIRST ROUND	7	14
1993	Southern (La.)	93	13	No. 13 Southern (La.) 93	Georgia Tech	78	4	No. 4 Georgia Tech 78	FIRST ROUND	9	15
1993	Santa Clara	64	15	No. 15 Santa Clara 64	Arizona	61	2	No. 2 Arizona 61	FIRST ROUND	13	3
1994	Arkansas	76	1	"Arkansas 76	Duke	72	2	 Duke 72	NATIONAL CHAMPIONSHIP	
1986	Michigan State	80	5	Michigan State 80"	Georgetown	68	4	 Georgetown 68	SECOND ROUND	-3	8
1994	Missouri	98	1	"Missouri 98	Syracuse	88	4	 Syracuse 88	REGIONAL SEMIFINALS	
1985	North Carolina	60	2	North Carolina 60"	Notre Dame	58	7	 Notre Dame 58	SECOND ROUND	-6	40
1994	Purdue	83	1	"Purdue 83	Kansas	78	4	 Kansas 78	REGIONAL SEMIFINALS	
1986	Kentucky	71	1	Kentucky 71"	Western Kentucky	64	8	 Western Kentucky 64	SECOND ROUND	-7	19
1994	Arkansas	103	1	"Arkansas 103	Tulsa	84	12	 Tulsa 84	REGIONAL SEMIFINALS	
2009	Oklahoma	73	2	Oklahoma 73"	Michigan	63	10	 Michigan 63	SECOND ROUND	-9	40
1994	North Carolina	71	1	No. 1 North Carolina 71	Liberty (Va.)	51	16	No. 16 Liberty (Va.) 51	FIRST ROUND	-15	20
1994	Arkansas	94	1	No. 1 Arkansas 94	North Carolina A&T	79	16	No. 16 North Carolina A&T 79	FIRST ROUND	-15	15
1994	Purdue	98	1	No. 1 Purdue 98	Central Florida	67	16	No. 16 Central Florida 67	FIRST ROUND	-15	31
1994	Missouri	76	1	No. 1 Missouri 76	Navy	53	16	No. 16 Navy 53	FIRST ROUND	-15	23
1994	Arizona	71	2	"Arizona 71	Virginia	58	7	 Virginia 58	SECOND ROUND	
1989	Syracuse	83	2	Syracuse 83"	Missouri	80	3	 Missouri 80	REGIONAL SEMIFINALS	-1	-9
1994	Arizona	82	2	"Arizona 82	Louisville	70	3	 Louisville 70	REGIONAL SEMIFINALS	
1986	Auburn	70	8	Auburn 70"	UNLV	63	4	 UNLV 63	REGIONAL SEMIFINALS	-2	19
1994	Duke	69	2	"Duke 69	Purdue	60	1	 Purdue 60	REGIONAL FINALS	
1986	Cleveland State	75	14	Cleveland State 75"	St. Joseph's	69	6	 St. Joseph's 69	SECOND ROUND	-4	0
1994	Duke	85	2	"Duke 85	Michigan State	74	7	 Michigan State 74	SECOND ROUND	
2006	Villanova	82	1	Villanova 82"	Arizona	78	8	 Arizona 78	SECOND ROUND	-6	7
1994	Connecticut	64	2	No. 2 Connecticut 64	Rider (N.J.)	46	15	No. 15 Rider (N.J.) 46	FIRST ROUND	-13	18
1994	Arizona	81	2	No. 2 Arizona 81	Loyola (Md.)	55	15	No. 15 Loyola (Md.) 55	FIRST ROUND	-13	26
1994	Massachusetts	78	2	No. 2 Massachusetts 78	SW Texas State	60	15	No. 15 SW Texas State 60	FIRST ROUND	-13	18
1994	Duke	82	2	No. 2 Duke 82	Texas Southern	70	15	No. 15 Texas Southern 70	FIRST ROUND	-13	12
1994	Michigan	78	3	"Michigan 78	Maryland	71	10	 Maryland 71	REGIONAL SEMIFINALS	
1998	Kentucky	78	2	Kentucky 78"	Utah	69	3	 Utah 69	NATIONAL CHAMPIONSHIP	0	9
1994	Michigan	84	3	"Michigan 84	Texas	79	6	 Texas 79	SECOND ROUND	
2004	Georgia Tech	72	3	Georgia Tech 72"	Nevada	67	10	 Nevada 67	REGIONAL SEMIFINALS	-7	17
1994	Florida	74	3	"Florida 74	Boston College	66	9	 Boston College 66	REGIONAL FINALS	
1988	Temple	69	1	Temple 69"	Richmond	47	13	 Richmond 47	REGIONAL SEMIFINALS	-10	27
1994	Kentucky	83	3	No. 3 Kentucky 83	Tennessee State	70	14	No. 14 Tennessee State 70	FIRST ROUND	-11	13
1994	Louisville	67	3	No. 3 Louisville 67	Boise State	58	14	No. 14 Boise State 58	FIRST ROUND	-11	9
1994	Michigan	78	3	No. 3 Michigan 78	Pepperdine	74	14	No. 14 Pepperdine 74	FIRST ROUND	-11	4
1994	Florida	64	3	No. 3 Florida 64	James Madison	62	14	No. 14 James Madison 62	FIRST ROUND	-11	2
1994	Syracuse	92	4	No. 4 Syracuse 92	Hawaii	78	13	No. 13 Hawaii 78	FIRST ROUND	-9	14
1994	Oklahoma State	65	4	No. 4 Oklahoma State 65	New Mexico State	55	13	No. 13 New Mexico State 55	FIRST ROUND	-9	10
1994	Temple	61	4	No. 4 Temple 61	Drexel	39	13	No. 13 Drexel 39	FIRST ROUND	-9	22
1994	Kansas	102	4	No. 4 Kansas 102	Tennessee-Chattanooga	73	13	No. 13 Tennessee-Chattanooga 73	FIRST ROUND	-9	29
1994	Indiana	84	5	No. 5 Indiana 84	Ohio University	72	12	No. 12 Ohio University 72	FIRST ROUND	-7	12
1994	Wake Forest	68	5	No. 5 Wake Forest 68	College of Charleston	58	12	No. 12 College of Charleston 58	FIRST ROUND	-7	10
1994	Marquette	75	6	"Marquette 75	Kentucky	63	3	 Kentucky 63	SECOND ROUND	
2000	Oklahoma State	68	3	Oklahoma State 68"	Seton Hall	66	10	 Seton Hall 66	REGIONAL SEMIFINALS	-4	9
1994	Minnesota	74	6	No. 6 Minnesota 74	Southern Illinois	60	11	No. 11 Southern Illinois 60	FIRST ROUND	-5	14
1994	Texas	91	6	No. 6 Texas 91	Western Kentucky	77	11	No. 11 Western Kentucky 77	FIRST ROUND	-5	14
1994	Marquette	81	6	No. 6 Marquette 81	Southwestern Louisiana	59	11	No. 11 Southwestern Louisiana 59	FIRST ROUND	-5	22
1994	Michigan State	84	7	No. 7 Michigan State 84	Seton Hall	73	10	No. 10 Seton Hall 73	FIRST ROUND	-3	11
1994	Virginia	57	7	No. 7 Virginia 57	New Mexico	54	10	No. 10 New Mexico 54	FIRST ROUND	-3	3
1994	Boston College	75	9	"Boston College 75	North Carolina	72	1	 North Carolina 72	SECOND ROUND	
2001	Southern Cal	74	6	Southern Cal 74"	Boston College	71	3	 Boston College 71	SECOND ROUND	6	4
1994	Boston College	67	9	No. 9 Boston College 67	Washington State	64	8	No. 8 Washington State 64	FIRST ROUND	1	3
1994	Alabama	76	9	No. 9 Alabama 76	Providence	70	8	No. 8 Providence 70	FIRST ROUND	1	6
1994	Georgetown	84	9	No. 9 Georgetown 84	Illinois	77	8	No. 8 Illinois 77	FIRST ROUND	1	7
1994	Wisconsin	80	9	No. 9 Wisconsin 80	Cincinnati	72	8	No. 8 Cincinnati 72	FIRST ROUND	1	8
1994	Maryland	95	10	"Maryland 95	Massachusetts	87	2	 Massachusetts 87	SECOND ROUND	
2008	Michigan State	65	5	Michigan State 65"	Pittsburgh	54	4	 Pittsburgh 54	SECOND ROUND	6	41
1994	George Washington	51	10	No. 10 George Washington 51	UAB	46	7	No. 7 UAB 46	FIRST ROUND	3	5
1994	Maryland	74	10	No. 10 Maryland 74	St. Louis	66	7	No. 7 St. Louis 66	FIRST ROUND	3	8
1994	Penn	90	11	No. 11 Penn 90	Nebraska	80	6	No. 6 Nebraska 80	FIRST ROUND	5	10
1994	Tulsa	112	12	No. 12 Tulsa 112	UCLA	102	5	No. 5 UCLA 102	FIRST ROUND	7	10
1994	Wisconsin-Green Bay	61	12	No. 12 Wisconsin-Green Bay 61	California	57	5	No. 5 California 57	FIRST ROUND	7	4
1995	Kentucky	97	1	"Kentucky 97	Arizona State	73	5	 Arizona State 73	REGIONAL SEMIFINALS	
1987	Indiana	97	1	Indiana 97"	UNLV	93	1	 UNLV 93	NATIONAL SEMIFINALS	0	4
1995	UCLA	75	1	"UCLA 75	Missouri	74	8	 Missouri 74	SECOND ROUND	
1998	Utah	76	3	Utah 76"	Arizona	51	1	 Arizona 51	REGIONAL FINALS	0	24
1995	Kentucky	113	1	No. 1 Kentucky 113	Mount St. Mary's (Md.)	67	16	No. 16 Mount St. Mary's (Md.) 67	FIRST ROUND	-15	46
1995	UCLA	92	1	No. 1 UCLA 92	Florida International	56	16	No. 16 Florida International 56	FIRST ROUND	-15	36
1995	Kansas	82	1	No. 1 Kansas 82	Colgate	68	16	No. 16 Colgate 68	FIRST ROUND	-15	14
1995	Wake Forest	79	1	No. 1 Wake Forest 79	North Carolina A&T	47	16	No. 16 North Carolina A&T 47	FIRST ROUND	-15	32
1995	Arkansas	75	2	"Arkansas 75	North Carolina	68	2	 North Carolina 68	NATIONAL SEMIFINALS	
1985	Villanova	59	8	Villanova 59"	Michigan	55	1	 Michigan 55	SECOND ROUND	1	20
1995	North Carolina	74	2	"North Carolina 74	Kentucky	61	1	 Kentucky 61	REGIONAL FINALS	
1996	Mississippi State	73	5	Mississippi State 73"	Cincinnati	63	2	 Cincinnati 63	REGIONAL FINALS	0	11
1995	Arkansas	79	2	No. 2 Arkansas 79	Texas Southern	78	15	No. 15 Texas Southern 78	FIRST ROUND	-13	1
1995	Connecticut	100	2	No. 2 Connecticut 100	Tennessee-Chattanooga	71	15	No. 15 Tennessee-Chattanooga 71	FIRST ROUND	-13	29
1995	North Carolina	80	2	No. 2 North Carolina 80	Murray State	70	15	No. 15 Murray State 70	FIRST ROUND	-13	10
1995	Massachusetts	68	2	No. 2 Massachusetts 68	St. Peter's	51	15	No. 15 St. Peter's 51	FIRST ROUND	-13	17
1995	Maryland	82	3	"Maryland 82	Texas	68	11	 Texas 68	SECOND ROUND	
2010	Duke	78	1	Duke 78"	West Virginia	57	2	 West Virginia 57	NATIONAL SEMIFINALS	1	25
1995	Purdue	49	3	No. 3 Purdue 49	Wisconsin-Green Bay	48	14	No. 14 Wisconsin-Green Bay 48	FIRST ROUND	-11	1
1995	Maryland	87	3	No. 3 Maryland 87	Gonzaga	63	14	No. 14 Gonzaga 63	FIRST ROUND	-11	24
1995	Virginia	60	4	"Virginia 60	Miami (Ohio)	54	12	 Miami (Ohio) 54	SECOND ROUND	
2009	North Carolina	89	1	North Carolina 89"	Michigan State	72	2	 Michigan State 72	NATIONAL CHAMPIONSHIP	2	-12
1995	Virginia	67	4	"Virginia 67	Kansas	58	1	 Kansas 58	REGIONAL SEMIFINALS	
2011	Kentucky	71	4	Kentucky 71"	West Virginia	63	5	 West Virginia 63	THIRD ROUND	-1	4
1995	Oklahoma State	68	4	"Oklahoma State 68	Massachusetts	54	2	 Massachusetts 54	REGIONAL FINALS	
1998	Connecticut	78	2	Connecticut 78"	Indiana	68	7	 Indiana 68	SECOND ROUND	-3	0
1995	Oklahoma State	71	4	"Oklahoma State 71	Wake Forest	66	1	 Wake Forest 66	REGIONAL SEMIFINALS	
1996	Georgetown	73	2	Georgetown 73"	New Mexico	62	7	 New Mexico 62	SECOND ROUND	-3	9
1995	Virginia	96	4	No. 4 Virginia 96	Nicholls State (La.)	72	13	No. 13 Nicholls State (La.) 72	FIRST ROUND	-9	24
1995	Utah	76	4	No. 4 Utah 76	Long Beach State	64	13	No. 13 Long Beach State 64	FIRST ROUND	-9	12
1995	Oklahoma State	73	4	No. 4 Oklahoma State 73	Drexel	49	13	No. 13 Drexel 49	FIRST ROUND	-9	24
1995	Alabama	91	5	No. 5 Alabama 91	Penn	85	12	No. 12 Penn 85	FIRST ROUND	-7	6
1995	Mississippi State	75	5	No. 5 Mississippi State 75	Santa Clara	67	12	No. 12 Santa Clara 67	FIRST ROUND	-7	8
1995	Arizona State	81	5	No. 5 Arizona State 81	Ball State	66	12	No. 12 Ball State 66	FIRST ROUND	-7	15
1995	Georgetown	53	6	"Georgetown 53	Weber State	51	14	 Weber State 51	SECOND ROUND	
2008	Memphis	78	1	Memphis 78"	UCLA	63	1	 UCLA 63	NATIONAL SEMIFINALS	5	-10
1995	Memphis	75	6	"Memphis 75	Purdue	73	3	 Purdue 73	SECOND ROUND	
2012	N.C. State	66	11	N.C. State 66"	Georgetown	63	3	 Georgetown 63	THIRD ROUND	3	12
1995	Tulsa	64	6	"Tulsa 64	Old Dominion	52	14	 Old Dominion 52	SECOND ROUND	
1982	Boston College	69	8	Boston College 69"	Kansas State	65	5	 Kansas State 65	REGIONAL SEMIFINALS	1	-1
1995	Georgetown	68	6	No. 6 Georgetown 68	Xavier	63	11	No. 11 Xavier 63	FIRST ROUND	-5	5
1995	Memphis	77	6	No. 6 Memphis 77	Louisville	56	11	No. 11 Louisville 56	FIRST ROUND	-5	21
1995	Tulsa	68	6	No. 6 Tulsa 68	Illinois	62	11	No. 11 Illinois 62	FIRST ROUND	-5	6
1995	Iowa State	64	7	No. 7 Iowa State 64	Florida	61	10	No. 10 Florida 61	FIRST ROUND	-3	3
1995	Syracuse	96	7	No. 7 Syracuse 96	Southern Illinois	92	10	No. 10 Southern Illinois 92	FIRST ROUND	-3	4
1995	Cincinnati	77	7	No. 7 Cincinnati 77	Temple	71	10	No. 10 Temple 71	FIRST ROUND	-3	6
1995	Missouri	65	8	No. 8 Missouri 65	Indiana	60	9	No. 9 Indiana 60	FIRST ROUND	-1	5
1995	Western Kentucky	82	8	No. 8 Western Kentucky 82	Michigan	76	9	No. 9 Michigan 76	FIRST ROUND	-1	6
1995	Tulane	76	9	No. 9 Tulane 76	Brigham Young	70	8	No. 8 Brigham Young 70	FIRST ROUND	1	6
1995	St. Louis	64	9	No. 9 St. Louis 64	Minnesota	61	8	No. 8 Minnesota 61	FIRST ROUND	1	3
1995	Stanford	70	10	No. 10 Stanford 70	UNC Charlotte	68	7	No. 7 UNC Charlotte 68	FIRST ROUND	3	2
1995	Texas	90	11	No. 11 Texas 90	Oregon	73	6	No. 6 Oregon 73	FIRST ROUND	5	17
1995	Miami (Ohio)	71	12	No. 12 Miami (Ohio) 71	Arizona	62	5	No. 5 Arizona 62	FIRST ROUND	7	9
1995	Manhattan	77	13	No. 13 Manhattan 77	Oklahoma	67	4	No. 4 Oklahoma 67	FIRST ROUND	9	10
1995	Weber State	79	14	No. 14 Weber State 79	Michigan State	72	3	No. 3 Michigan State 72	FIRST ROUND	11	7
1995	Old Dominion	89	14	No. 14 Old Dominion 89	Villanova	81	3	No. 3 Villanova 81	FIRST ROUND	11	8
1996	Massachusetts	86	1	"Massachusetts 86	Georgetown	62	2	 Georgetown 62	REGIONAL FINALS	
2010	Washington	82	11	Washington 82"	New Mexico	64	3	 New Mexico 64	SECOND ROUND	-2	22
1996	Connecticut	95	1	"Connecticut 95	Eastern Michigan	81	9	 Eastern Michigan 81	SECOND ROUND	
2009	Michigan State	74	2	Michigan State 74"	Southern California	69	10	 Southern California 69	SECOND ROUND	-9	26
1996	Kentucky	101	1	"Kentucky 101	Utah	70	4	 Utah 70	REGIONAL SEMIFINALS	
2006	Texas	75	2	Texas 75"	N.C. State	54	10	 N.C. State 54	SECOND ROUND	-9	47
1996	Kentucky	84	1	"Kentucky 84	Virginia Tech	60	9	 Virginia Tech 60	SECOND ROUND	
1989	Seton Hall	87	3	Seton Hall 87"	Evansville	73	11	 Evansville 73	SECOND ROUND	-10	11
1996	Purdue	73	1	No. 1 Purdue 73	Western Carolina	71	16	No. 16 Western Carolina 71	FIRST ROUND	-15	2
1996	Connecticut	68	1	No. 1 Connecticut 68	Colgate	59	16	No. 16 Colgate 59	FIRST ROUND	-15	9
1996	Kentucky	110	1	No. 1 Kentucky 110	San Jose State	72	16	No. 16 San Jose State 72	FIRST ROUND	-15	38
1996	Massachusetts	92	1	No. 1 Massachusetts 92	Central Florida	70	16	No. 16 Central Florida 70	FIRST ROUND	-15	22
1996	Georgetown	98	2	"Georgetown 98	Texas Tech	90	3	 Texas Tech 90	REGIONAL SEMIFINALS	
2003	Syracuse	63	3	Syracuse 63"	Oklahoma	47	1	 Oklahoma 47	REGIONAL FINALS	1	51
